RMS,Peak,Freq,Crest,THD
0.1157,0.1753,62.5,1.515,2.1047672980844156
0.1143,0.1835,62.5,1.606,1.9605314466109858
0.1147,0.1841,62.5,1.604,1.9511301919913866
0.1154,0.176,62.5,1.525,2.1528044391817693
0.1164,0.1701,62.5,1.461,2.0297485244082916
0.1165,0.1664,62.5,1.428,2.0259307308208476
0.1147,0.1863,62.5,1.624,1.9628720079998374
0.1157,0.1789,62.5,1.546,2.120906064292785
0.1165,0.1658,62.5,1.423,2.0253105846879196
0.1156,0.1814,62.5,1.569,2.1529982222809676
0.1152,0.1776,62.5,1.542,2.1519001984637076
0.1163,0.1714,62.5,1.473,2.0561663353894106
0.1156,0.1769,62.5,1.531,2.119910858655543
0.115,0.1833,62.5,1.594,2.062316484256139
0.1152,0.1796,62.5,1.56,2.1355769148243855
0.1161,0.1722,62.5,1.483,2.073903440189321
0.1146,0.1722,62.5,1.502,2.068619854496474
0.116,0.169,62.5,1.457,2.04298179405444
0.1155,0.1766,62.5,1.528,2.11367471805609
RMS,Peak,Freq,Crest,THD
0.1144,0.1795,62.5,1.569,2.087558635080162
0.1161,0.1643,62.5,1.415,2.025419869207268
0.1163,0.1692,62.5,1.454,2.0329074406170093
0.1147,0.1856,62.5,1.618,2.019077629595805
0.1144,0.1857,62.5,1.624,1.9442015261929828
0.1142,0.1869,75.0,1.636,1.9275410419898973
0.1152,0.1819,62.5,1.579,2.085804877924567
0.1143,0.1854,75.0,1.622,1.9275815726060685
0.1164,0.1735,62.5,1.491,2.070266293829718
0.1152,0.1792,62.5,1.555,2.1476397960238454
0.115,0.1782,62.5,1.549,2.1365444806377796
0.1162,0.1728,62.5,1.488,2.0507826490629575
0.1144,0.1812,62.5,1.584,2.0576159210044964
0.1142,0.1839,62.5,1.61,1.9449144075965767
0.1143,0.1853,62.5,1.621,1.9437304048745792
0.1151,0.18,62.5,1.564,2.134668304972219
0.1151,0.1816,62.5,1.578,2.1063390120486916
0.116,0.1709,62.5,1.473,2.0464759135858124
0.116,0.1704,62.5,1.469,2.0394172804779593
0.1153,0.1798,62.5,1.56,2.150510805088811
0.1142,0.184,62.5,1.611,1.9434296652091116
0.1158,0.1752,62.5,1.513,2.0951941767770776
0.1147,0.1868,62.5,1.629,1.971295760333685
0.1143,0.1849,75.0,1.618,1.9362716451614401
0.1162,0.1652,62.5,1.422,2.0272335672093234
0.1151,0.1813,62.5,1.575,2.1545748305587398
0.1153,0.1823,62.5,1.582,2.1421635222896347
0.115,0.1792,62.5,1.558,2.110995934648133
0.1164,0.1652,62.5,1.42,2.02341990160915
0.115,0.1843,62.5,1.603,2.048117407450809
0.1147,0.1826,62.5,1.593,2.0143420900669438
0.1143,0.1831,62.5,1.602,1.9421931560553038
0.1153,0.1823,62.5,1.582,2.1186538793326632
0.1151,0.1795,62.5,1.559,2.09198523869096
0.1161,0.1717,62.5,1.479,2.042609307425412
0.1148,0.1826,62.5,1.59,2.0503904927608865
0.1147,0.1835,62.5,1.599,2.027656687767391
0.1159,0.1734,62.5,1.496,2.0806509410972565
0.1163,0.1671,62.5,1.437,2.0361266706018157
0.1164,0.1715,62.5,1.474,2.0220687351958335
0.1161,0.1696,62.5,1.46,2.0505251413608425
0.1148,0.1815,62.5,1.582,2.043892548173879
0.1164,0.1703,62.5,1.463,2.0312120473428594
0.1152,0.1832,62.5,1.591,2.0355996254513626
0.1156,0.1772,62.5,1.534,2.137740191539901
0.1163,0.1667,62.5,1.433,2.0234156201371465
0.1159,0.1709,62.5,1.475,2.0532047541253693
0.1152,0.1849,62.5,1.605,2.1270002025778423
0.1159,0.1741,62.5,1.502,2.0823230679734936
0.1144,0.1873,62.5,1.638,1.9384855089831494
0.115,0.1842,62.5,1.601,2.113027899509478
0.1162,0.1706,62.5,1.469,2.052368856774321
0.1142,0.1862,62.5,1.631,1.951544533258783
0.1152,0.1799,62.5,1.561,2.146567490782884
0.1145,0.1843,62.5,1.609,1.9362036845709578
0.116,0.1752,62.5,1.511,2.069296138373448
0.1161,0.1692,62.5,1.457,2.038554906357072
0.1145,0.1851,62.5,1.616,1.963350300641614
0.1159,0.1696,62.5,1.463,2.0407281792184264
0.1159,0.1666,62.5,1.437,2.0376439872482504
0.1153,0.1796,62.5,1.558,2.160251845384475
0.1159,0.1772,62.5,1.529,2.0891640360745036
0.1162,0.1661,62.5,1.429,2.0280203626042086
0.1148,0.1814,62.5,1.58,2.0934751425681517
0.1149,0.1827,62.5,1.59,2.0512880513384473
0.1156,0.1843,62.5,1.594,2.1476097765101994
0.1151,0.1781,62.5,1.547,2.1522319794668467
0.1144,0.1853,75.0,1.62,1.9322394037519437
0.1162,0.1713,62.5,1.474,2.0424247850360144
0.1156,0.1755,62.5,1.518,2.1180080927212446
0.1143,0.1841,62.5,1.61,1.9459632346775066
0.1164,0.1687,62.5,1.448,2.032979108352735
0.1148,0.1832,62.5,1.596,2.0062036382286856
0.1148,0.1845,62.5,1.608,2.0568326039206943
0.1144,0.1859,62.5,1.626,1.9727438238423276
0.1146,0.1898,75.0,1.656,1.9288718660927875
0.1159,0.1703,62.5,1.469,2.062174413145889
0.1146,0.1842,62.5,1.608,1.9372641813084672
